Station:  
Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available

YEAR,STATION,POLLUTANT,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2021,CAUSEWAY BAY,Respirable Suspended Particulates,62,44,47,43,29,29,28,25,33,35,46,50
2021,CENTRAL,Respirable Suspended Particulates,53,35,36,36,20,20,18,17,22,25,36,43
2021,CENTRAL/WESTERN,Respirable Suspended Particulates,48,31,34,32,14,16,13,12,17,23,32,37
2021,EASTERN,Respirable Suspended Particulates,50,33,34,36,16,20,19,15,20,27,34,39
2021,KWAI CHUNG,Respirable Suspended Particulates,40,28,33,31,17,20,16,15,19,23,31,36
2021,KWUN TONG,Respirable Suspended Particulates,58,37,40,38,20,21,18,18,24,27,37,41
2021,MONG KOK,Respirable Suspended Particulates,52,36,40,37,17,20,17,16,22,27,36,41
2021,NORTH,Respirable Suspended Particulates,47,27,28,27,14,15,14,14,23,24,33,38
2021,SHAM SHUI PO,Respirable Suspended Particulates,50,35,36,35,17,22,17,16,20,23,33,37
2021,SHATIN,Respirable Suspended Particulates,46,26,29,31,16,17,14,14,18,21,29,36
2021,SOUTHERN,Respirable Suspended Particulates,42,27,29,30,17,20,16,16,19,24,33,35
2021,TAI PO,Respirable Suspended Particulates,46,28,30,29,15,17,15,14,20,24,30,36
2021,TAP MUN,Respirable Suspended Particulates,44,26,27,29,12,14,11,11,16,25,29,35
2021,TSEUNG KWAN O,Respirable Suspended Particulates,37,25,27,29,16,18,16,15,20,24,30,32
2021,TSUEN WAN,Respirable Suspended Particulates,43,24,28,29,14,18,15,14,19,22,29,37
2021,TUEN MUN,Respirable Suspended Particulates,69,39,42,40,19,22,20,16,26,33,50,55
2021,TUNG CHUNG,Respirable Suspended Particulates,48,27,24,30,14,16,13,14,17,24,39,44
2021,YUEN LONG,Respirable Suspended Particulates,56,32,33,31,16,19,16,15,23,27,41,49
2022,CAUSEWAY BAY,Respirable Suspended Particulates,46,28,38,35,27,22,26,27,49,40,31,41
2022,CENTRAL,Respirable Suspended Particulates,40,23,31,29,20,13,18,18,39,31,24,33
2022,CENTRAL/WESTERN,Respirable Suspended Particulates,35,19,27,25,16,10,13,13,36,28,20,25
2022,EASTERN,Respirable Suspended Particulates,35,21,28,27,19,13,16,14,33,27,20,27
2022,KWAI CHUNG,Respirable Suspended Particulates,34,19,26,25,18,15,16,14,36,28,19,29
2022,KWUN TONG,Respirable Suspended Particulates,34,20,29,28,20,16,18,15,34,29,20,28
2022,MONG KOK,Respirable Suspended Particulates,39,20,30,28,20,14,17,17,39,31,24,31
2022,NORTH,Respirable Suspended Particulates,32,18,22,22,17,11,16,14,36,32,21,34
2022,SHAM SHUI PO,Respirable Suspended Particulates,34,21,29,28,19,14,17,16,36,30,22,28
2022,SHATIN,Respirable Suspended Particulates,31,17,23,23,17,12,14,13,34,26,17,27
2022,SOUTHERN,Respirable Suspended Particulates,32,18,24,25,18,16,17,17,38,34,22,32
2022,TAI PO,Respirable Suspended Particulates,32,17,22,22,15,10,14,14,33,28,19,30
2022,TAP MUN,Respirable Suspended Particulates,30,15,21,20,14,9,12,13,32,29,18,27
2022,TSEUNG KWAN O,Respirable Suspended Particulates,28,15,24,24,17,13,16,15,36,30,20,27
2022,TSUEN WAN,Respirable Suspended Particulates,31,20,23,23,18,15,15,14,35,28,19,28
2022,TUEN MUN,Respirable Suspended Particulates,45,27,34,35,23,18,22,17,48,41,28,47
2022,TUNG CHUNG,Respirable Suspended Particulates,39,21,23,24,15,9,14,13,36,31,19,31
2022,YUEN LONG,Respirable Suspended Particulates,40,22,25,27,17,11,17,14,37,31,22,35
2023,CAUSEWAY BAY,Respirable Suspended Particulates,44,47,50,43,39,25,26,N.A.,N.A.,N.A.,N.A.,N.A.
2023,CENTRAL,Respirable Suspended Particulates,34,31,34,34,28,17,18,N.A.,N.A.,N.A.,N.A.,N.A.
2023,CENTRAL/WESTERN,Respirable Suspended Particulates,30,28,28,30,25,8,9,N.A.,N.A.,N.A.,N.A.,N.A.
2023,EASTERN,Respirable Suspended Particulates,31,30,34,31,27,13,12,N.A.,N.A.,N.A.,N.A.,N.A.
2023,KWAI CHUNG,Respirable Suspended Particulates,32,30,34,30,26,14,14,N.A.,N.A.,N.A.,N.A.,N.A.
2023,KWUN TONG,Respirable Suspended Particulates,32,32,38,30,30,14,15,N.A.,N.A.,N.A.,N.A.,N.A.
2023,MONG KOK,Respirable Suspended Particulates,37,36,41,36,30,16,16,N.A.,N.A.,N.A.,N.A.,N.A.
2023,NORTH,Respirable Suspended Particulates,34,29,33,26,26,14,15,N.A.,N.A.,N.A.,N.A.,N.A.
2023,SHAM SHUI PO,Respirable Suspended Particulates,31,30,29,27,23,11,11,N.A.,N.A.,N.A.,N.A.,N.A.
2023,SHATIN,Respirable Suspended Particulates,30,26,30,25,23,11,11,N.A.,N.A.,N.A.,N.A.,N.A.
2023,SOUTHERN,Respirable Suspended Particulates,35,31,33,33,30,12,13,N.A.,N.A.,N.A.,N.A.,N.A.
2023,TAI PO,Respirable Suspended Particulates,31,30,33,28,26,12,14,N.A.,N.A.,N.A.,N.A.,N.A.
2023,TAP MUN,Respirable Suspended Particulates,31,28,30,26,23,10,12,N.A.,N.A.,N.A.,N.A.,N.A.
2023,TSEUNG KWAN O,Respirable Suspended Particulates,33,28,31,30,27,13,14,N.A.,N.A.,N.A.,N.A.,N.A.
2023,TSUEN WAN,Respirable Suspended Particulates,32,29,31,27,25,13,14,N.A.,N.A.,N.A.,N.A.,N.A.
2023,TUEN MUN,Respirable Suspended Particulates,47,43,47,37,32,16,19,N.A.,N.A.,N.A.,N.A.,N.A.
2023,TUNG CHUNG,Respirable Suspended Particulates,29,29,26,26,24,12,12,N.A.,N.A.,N.A.,N.A.,N.A.
2023,YUEN LONG,Respirable Suspended Particulates,34,30,34,26,25,12,13,N.A.,N.A.,N.A.,N.A.,N.A.
