YEAR	STATION	POLLUTANT	Month 01	Month 02	Month 03	Month 04	Month 05	Month 06	Month 07	Month 08	Month 09	Month 10	Month 11	Month 12
2022	CAUSEWAY BAY	Respirable Suspended Particulates	46	28	38	35	27	22	26	27	49	40	31	41
2022	CENTRAL	Respirable Suspended Particulates	40	23	31	29	20	13	18	18	39	31	24	33
2022	CENTRAL/WESTERN	Respirable Suspended Particulates	35	19	27	25	16	10	13	13	36	28	20	25
2022	EASTERN	Respirable Suspended Particulates	35	21	28	27	19	13	16	14	33	27	20	27
2022	KWAI CHUNG	Respirable Suspended Particulates	34	19	26	25	18	15	16	14	36	28	19	29
2022	KWUN TONG	Respirable Suspended Particulates	34	20	29	28	20	16	18	15	34	29	20	28
2022	MONG KOK	Respirable Suspended Particulates	39	20	30	28	20	14	17	17	39	31	24	31
2022	NORTH	Respirable Suspended Particulates	32	18	22	22	17	11	16	14	36	32	21	34
2022	SHAM SHUI PO	Respirable Suspended Particulates	34	21	29	28	19	14	17	16	36	30	22	28
2022	SHATIN	Respirable Suspended Particulates	31	17	23	23	17	12	14	13	34	26	17	27
2022	SOUTHERN	Respirable Suspended Particulates	32	18	24	25	18	16	17	17	38	34	22	32
2022	TAI PO	Respirable Suspended Particulates	32	17	22	22	15	10	14	14	33	28	19	30
2022	TAP MUN	Respirable Suspended Particulates	30	15	21	20	14	9	12	13	32	29	18	27
2022	TSEUNG KWAN O	Respirable Suspended Particulates	28	15	24	24	17	13	16	15	36	30	20	27
2022	TSUEN WAN	Respirable Suspended Particulates	31	20	23	23	18	15	15	14	35	28	19	28
2022	TUEN MUN	Respirable Suspended Particulates	45	27	34	35	23	18	22	17	48	41	28	47
2022	TUNG CHUNG	Respirable Suspended Particulates	39	21	23	24	15	9	14	13	36	31	19	31
2022	YUEN LONG	Respirable Suspended Particulates	40	22	25	27	17	11	17	14	37	31	22	35
