Station:  
Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available

YEAR,STATION,POLLUTANT,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2014,CAUSEWAY BAY,Carbon Monoxide,124,94,115,75,56,69,63,56,65,58,70,82
2014,CAUSEWAY BAY,Fine Suspended Particulates ,60,36,47,43,27,31,29,23,35,40,37,46
2014,CAUSEWAY BAY,Nitrogen Dioxide,156,107,119,110,93,104,94,88,108,66,79,114
2014,CAUSEWAY BAY,Nitrogen Oxides,335,270,312,236,247,273,271,257,265,82,121,242
2014,CAUSEWAY BAY,Ozone,20,15,18,27,14,13,8,8,12,66,34,22
2014,CAUSEWAY BAY,Respirable Suspended Particulates,87,51,69,62,40,46,43,37,52,64,57,70
2014,CAUSEWAY BAY,Sulphur Dioxide,12,5,10,7,4,5,7,5,7,6,6,10
2014,CENTRAL,Carbon Monoxide,90,83,99,101,72,76,58,59,71,77,100,96
2014,CENTRAL,Fine Suspended Particulates ,47,30,40,32,17,19,16,12,23,35,32,38
2014,CENTRAL,Nitrogen Dioxide,145,102,105,111,81,85,83,81,102,98,127,129
2014,CENTRAL,Nitrogen Oxides,318,272,281,235,221,223,236,235,232,173,281,303
2014,CENTRAL,Ozone,28,21,24,31,18,15,14,15,22,62,20,21
2014,CENTRAL,Respirable Suspended Particulates,78,47,65,51,28,33,27,21,36,54,48,58
2014,CENTRAL,Sulphur Dioxide,13,8,11,8,7,8,8,6,8,8,8,14
2014,CENTRAL/WESTERN,Fine Suspended Particulates ,53,31,38,29,13,16,14,11,21,38,34,40
2014,CENTRAL/WESTERN,Nitrogen Dioxide,74,56,62,59,35,34,32,29,39,38,43,50
2014,CENTRAL/WESTERN,Nitrogen Oxides,97,92,121,87,54,51,52,49,52,42,52,66
2014,CENTRAL/WESTERN,Ozone,56,33,36,52,34,42,32,28,45,90,37,30
2014,CENTRAL/WESTERN,Respirable Suspended Particulates,77,44,58,47,22,27,24,20,33,62,53,62
2014,CENTRAL/WESTERN,Sulphur Dioxide,14,7,10,7,5,8,9,7,10,8,8,12
2014,EASTERN,Fine Suspended Particulates ,43,24,30,N.A.,N.A.,15,13,9,20,35,31,35
2014,EASTERN,Nitrogen Dioxide,69,54,62,61,42,41,41,39,47,52,53,57
2014,EASTERN,Ozone,51,31,32,48,36,42,30,27,43,80,46,42
2014,EASTERN,Respirable Suspended Particulates,66,35,45,40,19,23,20,16,29,53,45,56
2014,EASTERN,Sulphur Dioxide,11,5,6,6,4,5,7,5,8,7,6,8
2014,KWAI CHUNG,Fine Suspended Particulates ,52,27,33,27,17,20,18,15,25,38,32,37
2014,KWAI CHUNG,Nitrogen Dioxide,88,60,64,69,57,64,62,54,72,78,68,73
2014,KWAI CHUNG,Nitrogen Oxides,149,121,158,130,159,152,148,146,140,109,110,127
2014,KWAI CHUNG,Ozone,48,34,37,45,21,25,15,12,26,71,49,44
2014,KWAI CHUNG,Respirable Suspended Particulates,70,36,47,41,28,30,28,23,36,57,45,56
2014,KWAI CHUNG,Sulphur Dioxide,19,13,14,17,29,30,32,33,23,12,14,16
2014,KWUN TONG,Fine Suspended Particulates ,57,32,39,33,18,21,19,14,23,42,36,39
2014,KWUN TONG,Nitrogen Dioxide,69,51,53,48,54,57,60,57,55,46,45,53
2014,KWUN TONG,Nitrogen Oxides,119,103,111,79,135,125,125,127,94,61,67,91
2014,KWUN TONG,Ozone,61,39,44,61,28,30,20,16,40,93,61,53
2014,KWUN TONG,Respirable Suspended Particulates,89,48,57,55,33,34,32,26,41,69,57,67
2014,KWUN TONG,Sulphur Dioxide,19,12,12,7,6,8,11,10,12,12,9,11
2014,MONG KOK,Carbon Monoxide,133,86,102,100,80,75,94,86,73,92,105,116
2014,MONG KOK,Fine Suspended Particulates ,44,27,N.A.,37,20,24,21,18,29,42,39,43
2014,MONG KOK,Nitrogen Dioxide,137,101,109,124,91,91,87,83,98,86,95,101
2014,MONG KOK,Nitrogen Oxides,317,274,313,298,287,287,281,261,241,122,191,215
2014,MONG KOK,Ozone,23,13,13,16,9,12,8,8,16,57,23,21
2014,MONG KOK,Respirable Suspended Particulates,71,45,58,54,32,36,33,28,42,63,56,63
2014,MONG KOK,Sulphur Dioxide,14,11,13,12,8,8,12,8,10,8,6,11
2014,SHAM SHUI PO,Fine Suspended Particulates ,53,30,36,38,24,27,25,22,31,46,32,36
2014,SHAM SHUI PO,Nitrogen Dioxide,91,65,73,75,56,53,51,48,56,71,70,71
2014,SHAM SHUI PO,Nitrogen Oxides,147,126,155,123,108,96,99,98,94,95,103,102
2014,SHAM SHUI PO,Ozone,44,29,30,43,24,29,21,17,36,72,40,38
2014,SHAM SHUI PO,Respirable Suspended Particulates,77,40,51,48,31,35,32,28,38,62,42,50
2014,SHAM SHUI PO,Sulphur Dioxide,22,16,16,16,12,14,18,13,13,11,10,12
2014,SHATIN,Fine Suspended Particulates ,50,24,29,24,12,15,14,10,21,36,31,39
2014,SHATIN,Nitrogen Dioxide,63,37,39,37,40,42,44,42,47,46,40,51
2014,SHATIN,Nitrogen Oxides,101,58,62,56,59,67,68,70,67,56,56,73
2014,SHATIN,Ozone,61,48,54,68,38,39,30,24,44,91,60,52
2014,SHATIN,Respirable Suspended Particulates,70,35,45,37,21,25,24,18,31,55,47,57
2014,SHATIN,Sulphur Dioxide,14,8,9,8,8,7,9,11,8,8,9,12
2014,TAI PO,Fine Suspended Particulates ,52,28,32,27,12,15,17,10,22,37,32,38
2014,TAI PO,Nitrogen Dioxide,66,42,45,43,39,39,39,35,44,47,47,52
2014,TAI PO,Ozone,51,47,50,60,38,43,39,38,53,87,60,58
2014,TAI PO,Respirable Suspended Particulates,75,40,47,40,20,26,27,19,34,57,48,58
2014,TAI PO,Sulphur Dioxide,7,4,4,3,3,3,5,4,4,3,2,4
2014,TAP MUN,Carbon Monoxide,64,58,61,53,57,56,65,55,60,65,61,53
2014,TAP MUN,Fine Suspended Particulates ,54,27,31,27,13,15,15,11,23,32,35,39
2014,TAP MUN,Nitrogen Dioxide,13,8,12,10,10,8,9,10,9,9,10,15
2014,TAP MUN,Nitrogen Oxides,20,16,19,17,18,15,11,14,12,15,12,17
2014,TAP MUN,Ozone,97,68,74,88,54,55,50,39,68,110,86,79
2014,TAP MUN,Respirable Suspended Particulates,84,46,54,43,23,25,21,16,33,61,50,66
2014,TAP MUN,Sulphur Dioxide,14,8,10,10,9,9,10,11,7,7,7,11
2014,TSUEN WAN,Carbon Monoxide,108,70,71,80,61,57,47,49,82,78,71,85
2014,TSUEN WAN,Fine Suspended Particulates ,46,26,33,28,16,20,19,14,25,38,32,35
2014,TSUEN WAN,Nitrogen Dioxide,83,55,63,59,46,48,49,46,56,59,58,63
2014,TSUEN WAN,Nitrogen Oxides,124,101,146,101,103,90,91,94,89,75,84,95
2014,TSUEN WAN,Ozone,51,36,37,49,25,29,21,18,36,75,47,40
2014,TSUEN WAN,Respirable Suspended Particulates,69,36,48,40,26,32,30,24,36,59,47,53
2014,TSUEN WAN,Sulphur Dioxide,21,14,16,14,14,15,15,14,14,12,12,16
2014,TUEN MUN,Carbon Monoxide,89,72,64,61,35,31,29,31,57,63,N.A.,N.A.
2014,TUEN MUN,Fine Suspended Particulates ,66,36,37,30,11,18,17,11,26,48,N.A.,N.A.
2014,TUEN MUN,Nitrogen Dioxide,88,56,60,63,40,41,39,37,46,55,N.A.,N.A.
2014,TUEN MUN,Nitrogen Oxides,145,110,113,99,68,65,62,65,64,64,N.A.,N.A.
2014,TUEN MUN,Ozone,38,25,30,40,29,45,40,29,48,81,N.A.,N.A.
2014,TUEN MUN,Respirable Suspended Particulates,99,51,56,47,24,30,29,23,42,74,N.A.,N.A.
2014,TUEN MUN,Sulphur Dioxide,19,12,15,14,7,15,18,19,16,11,N.A.,N.A.
2014,TUNG CHUNG,Carbon Monoxide,66,58,50,48,26,42,45,44,55,74,73,73
2014,TUNG CHUNG,Fine Suspended Particulates ,50,25,27,22,9,13,12,8,19,33,32,41
2014,TUNG CHUNG,Nitrogen Dioxide,83,52,51,50,25,27,27,22,38,46,53,66
2014,TUNG CHUNG,Nitrogen Oxides,116,86,86,78,36,39,44,41,53,54,71,89
2014,TUNG CHUNG,Ozone,50,38,45,51,42,47,36,29,48,87,46,37
2014,TUNG CHUNG,Respirable Suspended Particulates,76,38,44,35,16,22,21,15,29,56,52,67
2014,TUNG CHUNG,Sulphur Dioxide,26,16,15,13,9,7,8,7,10,12,14,18
2014,YUEN LONG,Carbon Monoxide,103,73,76,73,53,50,43,47,62,74,75,92
2014,YUEN LONG,Fine Suspended Particulates ,65,34,37,32,15,21,19,13,26,47,45,59
2014,YUEN LONG,Nitrogen Dioxide,78,46,56,53,39,41,42,39,49,55,58,67
2014,YUEN LONG,Nitrogen Oxides,136,87,91,78,66,68,73,73,80,70,86,109
2014,YUEN LONG,Ozone,46,35,38,50,33,37,28,24,45,79,42,34
2014,YUEN LONG,Respirable Suspended Particulates,94,49,54,46,25,30,28,21,38,67,60,82
2014,YUEN LONG,Sulphur Dioxide,19,11,10,10,8,9,8,9,10,9,9,11
2015,CAUSEWAY BAY,Carbon Monoxide,68,80,103,86,67,52,66,71,87,76,57,68
2015,CAUSEWAY BAY,Fine Suspended Particulates ,53,62,44,34,25,18,27,36,33,40,32,37
2015,CAUSEWAY BAY,Nitrogen Dioxide,137,125,108,117,91,77,99,122,111,105,81,95
2015,CAUSEWAY BAY,Nitrogen Oxides,293,289,265,265,232,213,241,324,256,215,175,261
2015,CAUSEWAY BAY,Ozone,27,27,20,17,12,8,12,6,18,25,27,14
2015,CAUSEWAY BAY,Respirable Suspended Particulates,79,89,64,54,40,31,43,52,51,59,50,53
2015,CAUSEWAY BAY,Sulphur Dioxide,8,8,4,7,9,10,10,12,8,9,8,9
2015,CENTRAL,Carbon Monoxide,89,81,65,61,54,48,61,76,74,69,58,68
2015,CENTRAL,Fine Suspended Particulates ,41,45,29,19,12,9,16,23,20,27,19,26
2015,CENTRAL,Nitrogen Dioxide,125,107,97,103,78,66,88,106,87,102,77,79
2015,CENTRAL,Nitrogen Oxides,271,240,219,227,196,181,203,271,173,184,151,191
2015,CENTRAL,Ozone,30,30,21,19,14,11,17,12,30,32,32,17
2015,CENTRAL,Respirable Suspended Particulates,63,69,46,35,24,19,28,33,27,33,30,40
2015,CENTRAL,Sulphur Dioxide,11,10,8,9,7,8,7,12,7,8,8,9
2015,CENTRAL/WESTERN,Fine Suspended Particulates ,45,51,34,23,14,10,17,22,22,27,23,26
2015,CENTRAL/WESTERN,Nitrogen Dioxide,56,56,58,48,33,20,30,47,36,44,40,53
2015,CENTRAL/WESTERN,Nitrogen Oxides,73,86,86,65,49,30,39,74,45,51,51,75
2015,CENTRAL/WESTERN,Ozone,41,36,35,48,35,32,49,39,62,71,57,33
2015,CENTRAL/WESTERN,Respirable Suspended Particulates,66,73,49,37,23,17,28,33,33,42,37,39
2015,CENTRAL/WESTERN,Sulphur Dioxide,11,9,7,14,14,12,10,10,8,12,6,10
2015,EASTERN,Fine Suspended Particulates ,40,43,28,21,12,8,14,19,20,26,22,24
2015,EASTERN,Nitrogen Dioxide,64,62,58,50,40,26,34,46,43,48,47,52
2015,EASTERN,Ozone,49,44,36,44,32,32,49,43,61,68,58,35
2015,EASTERN,Respirable Suspended Particulates,60,66,42,33,20,14,23,27,29,39,34,36
2015,EASTERN,Sulphur Dioxide,8,8,4,6,4,5,5,7,5,5,5,5
2015,KWAI CHUNG,Fine Suspended Particulates ,40,43,26,22,15,13,18,24,23,29,23,23
2015,KWAI CHUNG,Nitrogen Dioxide,76,70,62,69,64,54,67,72,59,66,52,58
2015,KWAI CHUNG,Nitrogen Oxides,135,137,122,129,144,131,131,148,97,99,86,105
2015,KWAI CHUNG,Ozone,51,49,40,35,20,16,34,33,49,52,46,31
2015,KWAI CHUNG,Respirable Suspended Particulates,57,60,37,32,25,22,29,33,32,44,36,35
2015,KWAI CHUNG,Sulphur Dioxide,18,16,16,25,27,31,16,20,13,11,5,6
2015,KWUN TONG,Fine Suspended Particulates ,47,50,32,26,15,10,20,24,23,30,21,27
2015,KWUN TONG,Nitrogen Dioxide,53,48,45,61,59,59,66,78,53,52,39,47
2015,KWUN TONG,Nitrogen Oxides,85,82,71,111,137,145,126,147,85,76,58,84
2015,KWUN TONG,Ozone,69,65,51,41,23,18,37,28,59,68,58,37
2015,KWUN TONG,Respirable Suspended Particulates,72,75,51,42,26,21,32,38,38,50,41,46
2015,KWUN TONG,Sulphur Dioxide,12,10,5,9,6,9,7,9,5,7,7,9
2015,MONG KOK,Carbon Monoxide,111,111,101,91,80,63,64,69,67,74,84,92
2015,MONG KOK,Fine Suspended Particulates ,50,54,37,27,19,13,20,25,25,29,29,31
2015,MONG KOK,Nitrogen Dioxide,120,117,103,109,89,76,91,103,91,99,85,78
2015,MONG KOK,Nitrogen Oxides,244,264,234,253,251,228,225,258,188,181,164,164
2015,MONG KOK,Ozone,22,20,15,16,9,5,15,10,24,30,22,16
2015,MONG KOK,Respirable Suspended Particulates,71,77,54,41,30,23,32,36,38,44,41,41
2015,MONG KOK,Sulphur Dioxide,11,11,6,7,6,7,6,9,5,6,5,5
2015,SHAM SHUI PO,Fine Suspended Particulates ,38,44,28,20,14,10,17,25,25,30,24,27
2015,SHAM SHUI PO,Nitrogen Dioxide,82,82,74,66,52,38,52,67,57,63,59,60
2015,SHAM SHUI PO,Nitrogen Oxides,123,145,127,101,93,68,77,118,82,83,84,89
2015,SHAM SHUI PO,Ozone,44,37,28,36,22,20,38,30,51,59,43,26
2015,SHAM SHUI PO,Respirable Suspended Particulates,57,65,42,32,22,17,28,34,34,45,39,40
