"YEAR	STATION	POLLUTANT	MONTH	CONCENTRATION"
"2022	CENTRAL	Carbon Monoxide	1	10.1"
"2022	CENTRAL	Carbon Monoxide	2	10.2"
"2022	CENTRAL	Carbon Monoxide	3	11.4"
"2022	CENTRAL	Carbon Monoxide	4	9.4"
"2022	CENTRAL	Carbon Monoxide	5	9.5"
"2022	CENTRAL	Carbon Monoxide	6	9.3"
"2022	CENTRAL	Carbon Monoxide	7	10.1"
"2022	CENTRAL	Carbon Monoxide	8	11.0"
"2022	CENTRAL	Carbon Monoxide	9	11.3"
"2022	CENTRAL	Carbon Monoxide	10	9.3"
"2022	CENTRAL	Carbon Monoxide	11	10.3"
"2022	CENTRAL	Carbon Monoxide	12	8.1"
"2022	CENTRAL	Fine Suspended Particulates 	1	27"
"2022	CENTRAL	Fine Suspended Particulates 	2	15"
"2022	CENTRAL	Fine Suspended Particulates 	3	20"
"2022	CENTRAL	Fine Suspended Particulates 	4	18"
"2022	CENTRAL	Fine Suspended Particulates 	5	13"
"2022	CENTRAL	Fine Suspended Particulates 	6	9"
"2022	CENTRAL	Fine Suspended Particulates 	7	12"
"2022	CENTRAL	Fine Suspended Particulates 	8	12"
"2022	CENTRAL	Fine Suspended Particulates 	9	26"
"2022	CENTRAL	Fine Suspended Particulates 	10	8"
"2022	CENTRAL	Fine Suspended Particulates 	11	16"
"2022	CENTRAL	Fine Suspended Particulates 	12	21"
"2022	CENTRAL	Nitrogen Dioxide	1	69"
"2022	CENTRAL	Nitrogen Dioxide	2	59"
"2022	CENTRAL	Nitrogen Dioxide	3	63"
"2022	CENTRAL	Nitrogen Dioxide	4	56"
"2022	CENTRAL	Nitrogen Dioxide	5	55"
"2022	CENTRAL	Nitrogen Dioxide	6	44"
"2022	CENTRAL	Nitrogen Dioxide	7	48"
"2022	CENTRAL	Nitrogen Dioxide	8	57"
"2022	CENTRAL	Nitrogen Dioxide	9	91"
"2022	CENTRAL	Nitrogen Dioxide	10	68"
"2022	CENTRAL	Nitrogen Dioxide	11	56"
"2022	CENTRAL	Nitrogen Dioxide	12	74"
"2022	CENTRAL	Nitrogen Oxides	1	40"
"2022	CENTRAL	Nitrogen Oxides	2	31"
"2022	CENTRAL	Nitrogen Oxides	3	44"
"2022	CENTRAL	Nitrogen Oxides	4	48"
"2022	CENTRAL	Nitrogen Oxides	5	45"
"2022	CENTRAL	Nitrogen Oxides	6	16"
"2022	CENTRAL	Nitrogen Oxides	7	23"
"2022	CENTRAL	Nitrogen Oxides	8	19"
"2022	CENTRAL	Nitrogen Oxides	9	59"
"2022	CENTRAL	Nitrogen Oxides	10	52"
"2022	CENTRAL	Nitrogen Oxides	11	40"
"2022	CENTRAL	Nitrogen Oxides	12	23"
"2022	CENTRAL	Ozone	1	40"
"2022	CENTRAL	Ozone	2	31"
"2022	CENTRAL	Ozone	3	44"
"2022	CENTRAL	Ozone	4	48"
"2022	CENTRAL	Ozone	5	45"
"2022	CENTRAL	Ozone	6	16"
"2022	CENTRAL	Ozone	7	23"
"2022	CENTRAL	Ozone	8	19"
"2022	CENTRAL	Ozone	9	59"
"2022	CENTRAL	Ozone	10	52"
"2022	CENTRAL	Ozone	11	40"
"2022	CENTRAL	Ozone	12	23"
"2022	CENTRAL	Respirable Suspended Particulates	1	40"
"2022	CENTRAL	Respirable Suspended Particulates	2	23"
"2022	CENTRAL	Respirable Suspended Particulates	3	31"
"2022	CENTRAL	Respirable Suspended Particulates	4	29"
"2022	CENTRAL	Respirable Suspended Particulates	5	20"
"2022	CENTRAL	Respirable Suspended Particulates	6	13"
"2022	CENTRAL	Respirable Suspended Particulates	7	18"
"2022	CENTRAL	Respirable Suspended Particulates	8	18"
"2022	CENTRAL	Respirable Suspended Particulates	9	39"
"2022	CENTRAL	Respirable Suspended Particulates	10	31"
"2022	CENTRAL	Respirable Suspended Particulates	11	24"
"2022	CENTRAL	Respirable Suspended Particulates	12	33"
"2022	CENTRAL	Sulphur Dioxide	1	4"
"2022	CENTRAL	Sulphur Dioxide	2	4"
"2022	CENTRAL	Sulphur Dioxide	3	5"
"2022	CENTRAL	Sulphur Dioxide	4	2"
"2022	CENTRAL	Sulphur Dioxide	5	2"
"2022	CENTRAL	Sulphur Dioxide	6	2"
"2022	CENTRAL	Sulphur Dioxide	7	5"
"2022	CENTRAL	Sulphur Dioxide	8	6"
"2022	CENTRAL	Sulphur Dioxide	9	5"
"2022	CENTRAL	Sulphur Dioxide	10	4"
"2022	CENTRAL	Sulphur Dioxide	11	3"
"2022	CENTRAL	Sulphur Dioxide	12	5"
