Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

YEAR,STATION,RSP
2004,CAUSEWAY BAY,88
2004,CENTRAL,77
2004,CENTRAL/WESTERN,59
2004,EASTERN,54
2004,KWAI CHUNG,62
2004,KWUN TONG,61
2004,MONG KOK,75
2004,SHAM SHUI PO,60
2004,SHATIN,59
2004,TAP MUN,53
2004,TSUEN WAN,63
2004,TUNG CHUNG,62
2004,YUEN LONG,71
2005,CAUSEWAY BAY,84
2005,CENTRAL,72
2005,CENTRAL/WESTERN,54
2005,EASTERN,49
2005,KWAI CHUNG,58
2005,KWUN TONG,56
2005,MONG KOK,69
2005,SHAM SHUI PO,56
2005,SHATIN,53
2005,TAI PO,51
2005,TAP MUN,50
2005,TSUEN WAN,58
2005,TUNG CHUNG,57
2005,YUEN LONG,62
2006,CAUSEWAY BAY,83
2006,CENTRAL,75
2006,CENTRAL/WESTERN,53
2006,EASTERN,47
2006,KWAI CHUNG,58
2006,KWUN TONG,55
2006,MONG KOK,67
2006,SHAM SHUI PO,55
2006,SHATIN,52
2006,TAI PO,51
2006,TAP MUN,48
2006,TSUEN WAN,57
2006,TUNG CHUNG,56
2006,YUEN LONG,62
2007,CAUSEWAY BAY,85
2007,CENTRAL,68
2007,CENTRAL/WESTERN,53
2007,EASTERN,49
2007,KWAI CHUNG,60
2007,KWUN TONG,53
2007,MONG KOK,66
2007,SHAM SHUI PO,57
2007,SHATIN,52
2007,TAI PO,53
2007,TAP MUN,53
2007,TSUEN WAN,59
2007,TUNG CHUNG,54
2007,YUEN LONG,64
2008,CAUSEWAY BAY,79
2008,CENTRAL,63
2008,CENTRAL/WESTERN,51
2008,EASTERN,46
2008,KWAI CHUNG,52
2008,KWUN TONG,47
2008,MONG KOK,62
2008,SHAM SHUI PO,53
2008,SHATIN,50
2008,TAI PO,50
2008,TAP MUN,52
2008,TSUEN WAN,53
2008,TUNG CHUNG,52
2008,YUEN LONG,60
2009,CAUSEWAY BAY,71
2009,CENTRAL,58
2009,CENTRAL/WESTERN,47
2009,EASTERN,43
2009,KWAI CHUNG,47
2009,KWUN TONG,48
2009,MONG KOK,55
2009,SHAM SHUI PO,47
2009,SHATIN,45
2009,TAI PO,46
2009,TAP MUN,44
2009,TSUEN WAN,49
2009,TUNG CHUNG,46
2009,YUEN LONG,51
2010,CAUSEWAY BAY,66
2010,CENTRAL,59
2010,CENTRAL/WESTERN,47
2010,EASTERN,43
2010,KWAI CHUNG,45
2010,KWUN TONG,47
2010,MONG KOK,55
2010,SHAM SHUI PO,48
2010,SHATIN,45
2010,TAI PO,45
2010,TAP MUN,41
2010,TSUEN WAN,45
2010,TUNG CHUNG,45
2010,YUEN LONG,49
2011,CAUSEWAY BAY,66
2011,CENTRAL,62
2011,CENTRAL/WESTERN,50
2011,EASTERN,43
2011,KWAI CHUNG,48
2011,KWUN TONG,49
2011,MONG KOK,55
2011,SHAM SHUI PO,51
2011,SHATIN,47
2011,TAI PO,46
2011,TAP MUN,47
2011,TSUEN WAN,50
2011,TUNG CHUNG,47
2011,YUEN LONG,54
2012,CAUSEWAY BAY,61
2012,CENTRAL,51
2012,CENTRAL/WESTERN,46
2012,EASTERN,38
2012,KWAI CHUNG,42
2012,KWUN TONG,43
2012,MONG KOK,47
2012,SHAM SHUI PO,42
2012,SHATIN,39
2012,TAI PO,41
2012,TAP MUN,38
2012,TSUEN WAN,42
2012,TUNG CHUNG,45
2012,YUEN LONG,44
2013,CAUSEWAY BAY,64
2013,CENTRAL,56
2013,CENTRAL/WESTERN,49
2013,EASTERN,43
2013,KWAI CHUNG,46
2013,KWUN TONG,52
2013,MONG KOK,50
2013,SHAM SHUI PO,46
2013,SHATIN,42
2013,TAP MUN,49
2013,TSUEN WAN,47
2013,TUNG CHUNG,42
2013,YUEN LONG,56
2014,CAUSEWAY BAY,57
2014,CENTRAL,46
2014,CENTRAL/WESTERN,44
2014,EASTERN,37
2014,KWAI CHUNG,41
2014,KWUN TONG,51
2014,MONG KOK,48
2014,SHAM SHUI PO,44
2014,SHATIN,39
2014,TAI PO,41
2014,TAP MUN,44
2014,TSUEN WAN,42
2014,TUNG CHUNG,39
2014,YUEN LONG,50
2015,CAUSEWAY BAY,55
2015,CENTRAL,37
2015,CENTRAL/WESTERN,39
2015,EASTERN,35
2015,KWAI CHUNG,37
2015,KWUN TONG,44
2015,MONG KOK,44
2015,SHAM SHUI PO,38
2015,SHATIN,34
2015,TAI PO,36
2015,TSUEN WAN,36
2015,TUEN MUN,45
2015,TUNG CHUNG,36
2015,YUEN LONG,44
2016,CAUSEWAY BAY,45
2016,CENTRAL,31
2016,CENTRAL/WESTERN,32
2016,EASTERN,30
2016,KWAI CHUNG,33
2016,KWUN TONG,37
2016,MONG KOK,37
2016,SHAM SHUI PO,35
2016,SHATIN,29
2016,TAI PO,29
2016,TSUEN WAN,31
2016,TUEN MUN,44
2016,TUNG CHUNG,33
2016,YUEN LONG,37
2017,CAUSEWAY BAY,46
2017,CENTRAL,33
2017,CENTRAL/WESTERN,35
2017,EASTERN,33
2017,KWAI CHUNG,35
2017,KWUN TONG,39
2017,MONG KOK,38
2017,SHAM SHUI PO,33
2017,SHATIN,31
2017,TAI PO,32
2017,TAP MUN,35
2017,TSEUNG KWAN O,31
2017,TSUEN WAN,33
2017,TUEN MUN,43
2017,TUNG CHUNG,34
2017,YUEN LONG,40
2018,CAUSEWAY BAY,46
2018,CENTRAL,34
2018,CENTRAL/WESTERN,34
2018,EASTERN,33
2018,KWAI CHUNG,32
2018,KWUN TONG,38
